ConceptId	MapTarget
10679071000119103	R223
1067911000000102	T149
10679151000119106	R223
10679191000119101	R223
1067921000000108	T149
10679231000119105	R223
10679271000119108	R223
1067931000000105	T149
10679351000119109	R220
10679391000119104	R220
1067941000000101	T149
10679431000119109	R222
10679471000119107	R222
1067951000000103	T149
10679511000119103	R222
10679591000119107	R222
1067961000000100	T149
1067971000000107	T149
10679791000119100	R223
1067981000000109	T149
10679831000119106	R223
10679871000119109	R223
1067991000000106	T149
10679911000119107	R223
10679951000119108	R223
10679991000119103	R223
10680005	E348
1068001000000102	T149
10680031000119101	R223
10680071000119103	R223
1068011000000100	T149
1068021000000106	T149
10680231000119105	R224
1068031000000108	T149
1068041000000104	T149
